Date,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,Mckean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York
3/18/2020 4:45 p.m.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/2020 12:00 p.m.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2020 12:00 p.m.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2020 12:00 p.m.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/2020 12:00 p.m.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/23/2020 12:00 p.m.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/2020 12:00 p.m.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2020 12:00 p.m.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2020 12:00 p.m.,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2020 12:00 p.m.,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2020 12:00 p.m.,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,0,0,2,5,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2020 12:00 p.m.,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,2,0,0,0,0,3,5,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2020 12:00 p.m.,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,3,0,0,0,0,7,5,0,5,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2020 12:00 p.m.,0,2,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,4,4,0,0,0,0,7,6,0,5,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2020 12:00 p.m.,0,2,0,2,0,0,0,0,6,2,0,0,1,0,1,0,0,0,0,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,3,3,2,0,5,4,0,0,0,0,8,8,0,5,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2020 12:00 p.m.,0,2,0,2,0,1,0,0,6,2,0,0,1,0,2,0,0,0,0,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,5,5,0,0,0,0,10,9,0,9,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4/3/2020 12:00 p.m.,0,2,0,2,0,1,0,0,8,2,0,0,1,0,2,0,0,0,0,0,2,1,10,0,0,1,0,0,0,0,0,0,0,0,4,5,2,0,5,5,0,0,0,0,10,11,0,10,0,1,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4/4/2020 12:00 p.m.,0,3,0,6,0,2,0,0,11,2,0,0,1,0,2,0,0,0,0,0,2,1,13,0,0,1,0,0,0,0,0,0,0,0,6,5,2,0,7,5,0,0,0,0,11,17,0,11,0,1,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4/5/2020 12:00 p.m.,0,4,0,6,0,3,0,0,13,2,0,0,1,0,2,0,0,0,0,0,2,1,14,0,0,1,0,0,0,0,0,0,0,0,6,8,2,0,8,5,0,0,0,0,11,18,0,11,0,1,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4/6/2020 12:00 p.m.,0,4,0,6,0,3,0,0,17,2,0,0,1,0,3,0,0,0,0,0,2,1,15,0,0,1,0,0,0,0,0,0,0,0,7,11,2,0,8,5,0,0,0,0,11,18,0,12,0,1,28,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4/7/2020 12:00 p.m.,0,6,0,9,0,4,0,0,21,2,1,0,1,0,6,0,0,0,1,0,2,1,20,0,0,1,0,0,0,0,0,0,0,0,8,14,2,0,10,8,0,0,0,0,12,30,0,14,0,1,58,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
4/8/2020 2:45 p.m.,0,10,0,13,0,7,0,0,22,2,1,0,1,0,6,0,0,0,1,0,2,2,23,0,0,1,0,0,0,0,0,0,0,0,10,16,2,0,11,11,0,0,0,0,17,37,0,17,0,1,86,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
4/9/2020 12:00 p.m.,1,12,0,13,0,8,0,0,23,2,1,0,2,0,7,0,0,0,2,0,2,2,26,0,0,1,0,0,0,0,0,0,0,0,16,17,2,0,13,12,0,0,0,0,19,37,0,20,0,1,86,6,0,1,1,0,0,1,0,0,0,0,0,0,1,0,3
4/10/2020 12:00 p.m.,1,18,0,13,0,12,0,0,26,3,1,0,3,0,9,0,0,0,2,0,2,2,30,0,0,1,0,0,0,0,0,0,0,0,18,21,3,1,16,15,0,0,0,0,19,50,0,21,0,1,110,6,0,1,1,0,0,2,0,0,0,0,0,0,5,0,3
4/12/2020 12:00 p.m.,1,19,1,13,1,20,0,0,32,4,1,0,3,0,17,0,0,0,3,0,3,4,39,0,0,3,0,0,0,0,0,0,0,0,20,24,4,1,18,17,0,0,0,0,23,63,0,23,0,1,128,6,0,2,1,0,0,1,1,0,0,0,0,1,6,0,3
4/13/2020 12:00 p.m.,1,21,1,13,1,21,0,0,36,4,1,0,3,0,17,0,0,0,3,0,3,4,40,0,0,3,0,0,0,0,0,0,0,0,21,24,4,2,19,21,0,0,0,0,24,65,0,23,0,1,127,6,0,2,1,0,0,1,1,0,0,0,0,1,6,0,3
4/14/2020 12:00 p.m.,1,24,1,14,1,27,0,0,40,5,1,0,3,0,20,0,0,0,3,0,4,5,45,0,0,3,0,0,0,0,0,0,0,0,24,26,4,2,23,26,0,0,0,0,27,76,0,25,0,1,131,6,0,2,1,0,0,1,1,0,0,0,1,1,6,0,3
4/15/2020 12:00 p.m.,1,26,1,14,1,28,0,0,51,5,1,0,6,0,25,0,0,0,3,0,4,5,59,0,0,3,0,0,0,0,0,1,0,0,26,29,5,2,25,27,0,0,0,0,28,82,0,25,0,1,132,7,0,3,1,0,0,1,1,0,0,0,1,2,11,0,4
4/16/2020 12:00 p.m.,1,38,1,14,1,31,,,56,5,1,,6,,28,,,,3,,4,7,69,,,3,,,,,,2,,,28,33,5,2,28,28,,,,,29,89,,25,,1,134,7,,4,1,,,1,1,,,,1,2,13,1,4
4/17/2020 12:00 p.m.,1,43,2,15,1,34,,,64,5,1,,7,1,30,,,,3,,4,7,73,,,3,,,,,,3,,,30,35,5,2,29,31,,,1,,29,97,,27,,1,136,8,,4,1,,,1,1,,,,1,2,13,1,4
4/18/2020 12:00 p.m.,1,47,2,31,1,40,,,75,5,1,,8,1,36,1,,,4,,4,9,77,,,3,,,,,,4,,,35,36,5,4,29,32,,,1,,34,106,,29,,1,136,8,,5,1,,,1,1,,,,2,2,13,1,4
4/19/2020 1:00 p.m.,1,50,2,32,1,65,0,1,84,5,1,0,8,1,42,1,0,0,6,0,4,9,90,0,0,3,0,0,0,0,0,4,0,0,41,60,5,4,32,34,0,0,1,0,38,164,0,36,0,1,240,8,0,5,1,0,0,3,1,0,0,0,2,3,16,1,6
4/19/2020 1:00 p.m.,1,50,2,32,1,65,0,1,84,5,1,0,8,1,42,1,0,0,6,0,4,9,90,0,0,3,0,0,0,0,0,4,0,0,41,60,5,4,32,34,0,0,1,0,38,164,0,36,0,1,240,8,0,5,1,0,0,3,1,0,0,0,2,3,16,1,6
4/20/2020 12:00 p.m.,1,55,2,36,1,74,0,1,90,5,1,0,9,1,44,1,0,0,7,0,4,9,99,0,0,3,0,0,0,0,0,4,0,0,41,66,5,5,33,36,0,0,1,0,39,184,0,36,0,1,262,9,0,5,1,0,0,4,1,0,0,0,2,3,16,1,6
4/21/2020 12:00 p.m.,2,67,2,43,1,82,0,5,116,6,2,0,11,2,65,1,0,0,8,0,6,11,118,0,0,3,0,10,0,0,0,4,0,0,53,88,6,8,49,50,2,0,1,0,46,223,0,43,0,1,363,12,0,7,1,0,0,4,2,0,0,1,2,3,20,1,13
4/22/2020 12:00 p.m.,2,74,2,47,1,85,0,5,126,7,2,0,11,2,67,1,0,0,7,0,6,13,123,0,0,3,0,10,0,0,0,4,0,0,57,86,6,8,49,60,2,0,1,0,48,230,0,44,0,1,365,12,0,7,1,0,0,4,2,0,0,1,2,3,20,1,14
